Rk,Player,G,Age,Pos,Date,Tm,,Opp,,A,PTS,+/-,PIM,EV,PP,SH,GW,S,S%,SHFT,TOI
45,Mark Jankowski\jankoma01,0,26-189,C,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,0,,24,14:32
46,Mark Jankowski\jankoma01,0,26-186,C,3/18/2021,PIT,@,NJD,L,0,0,0,0,0,0,0,0,1,0,21,13:38
47,Kasperi Kapanen\kapanka01,0,24-240,RW,3/20/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,0,,16,13:20
48,Kasperi Kapanen\kapanka01,0,24-241,RW,3/21/2021,PIT,,NJD,L-OT,0,0,-1,0,0,0,0,0,4,0,20,15:23
49,Kasperi Kapanen\kapanka01,0,24-238,RW,3/18/2021,PIT,@,NJD,L,1,1,-1,0,0,0,0,0,2,0,24,20:09
50,Sam Lafferty\laffesa01,0,26-036,C,4/11/2021,PIT,@,NJD,W,0,0,0,2,0,0,0,0,1,0,21,11:56
51,Sam Lafferty\laffesa01,0,26-015,C,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,1,0,21,13:46
52,Sam Lafferty\laffesa01,0,26-012,C,3/18/2021,PIT,@,NJD,L,0,0,0,0,0,0,0,0,2,0,21,13:42
53,Sam Lafferty\laffesa01,0,26-045,C,4/20/2021,PIT,,NJD,W,0,0,0,0,0,0,0,0,0,,9,6:02
54,Sam Lafferty\laffesa01,0,26-034,C,4/9/2021,PIT,@,NJD,W,1,1,1,0,0,0,0,0,4,0,19,14:27
55,Sam Lafferty\laffesa01,0,26-014,C,3/20/2021,PIT,@,NJD,W,1,1,1,4,0,0,0,0,0,,18,12:38
56,Kris Letang\letankr01,0,33-361,D,4/20/2021,PIT,,NJD,W,1,1,1,2,0,0,0,0,2,0,27,23:31
57,Kris Letang\letankr01,0,33-350,D,4/9/2021,PIT,@,NJD,W,2,2,-1,0,0,0,0,0,2,0,24,24:02:00
58,Kris Letang\letankr01,0,33-330,D,3/20/2021,PIT,@,NJD,W,0,0,-1,0,0,0,0,0,1,0,27,24:38:00
59,Kris Letang\letankr01,0,33-352,D,4/11/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,2,0,26,21:24
60,Kris Letang\letankr01,0,33-331,D,3/21/2021,PIT,,NJD,L-OT,0,0,1,0,0,0,0,0,6,0,29,25:10:00
61,Kris Letang\letankr01,0,33-328,D,3/18/2021,PIT,@,NJD,L,2,2,0,0,0,0,0,0,3,0,28,24:25:00
62,John Marino\marinjo01,0,23-325,D,4/11/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,1,0,24,20:27
63,John Marino\marinjo01,0,23-304,D,3/21/2021,PIT,,NJD,L-OT,0,0,-1,0,0,0,0,0,2,0,26,18:59
64,John Marino\marinjo01,0,23-301,D,3/18/2021,PIT,@,NJD,L,0,0,-1,0,0,0,0,0,2,0,24,19:33
65,John Marino\marinjo01,0,23-334,D,4/20/2021,PIT,,NJD,W,1,1,0,0,0,0,0,0,4,0,23,17:14
66,John Marino\marinjo01,0,23-323,D,4/9/2021,PIT,@,NJD,W,1,1,1,0,0,0,0,0,1,0,22,17:59
67,John Marino\marinjo01,0,23-303,D,3/20/2021,PIT,@,NJD,W,0,0,1,0,0,0,0,0,0,,24,18:45
68,Mike Matheson\mathemi01,0,27-022,D,3/21/2021,PIT,,NJD,L-OT,0,0,-2,2,0,0,0,0,3,0,24,20:08
69,Mike Matheson\mathemi01,0,27-019,D,3/18/2021,PIT,@,NJD,L,0,0,-1,0,0,0,0,0,4,0,24,17:21
70,Mike Matheson\mathemi01,0,27-041,D,4/9/2021,PIT,@,NJD,W,0,0,-2,0,0,0,0,0,2,0,20,16:43
71,Mike Matheson\mathemi01,0,27-021,D,3/20/2021,PIT,@,NJD,W,0,0,-1,0,0,0,0,0,6,0,20,18:34
72,Mike Matheson\mathemi01,0,27-043,D,4/11/2021,PIT,@,NJD,W,2,2,2,0,0,0,0,0,3,0,21,17:12
73,Mike Matheson\mathemi01,1,27-052,D,4/20/2021,PIT,,NJD,W,0,1,1,0,1,0,0,0,2,50,20,18:17
74,Jared McCann\mccanja01,0,24-315,C,4/11/2021,PIT,@,NJD,W,1,1,0,0,0,0,0,0,2,0,20,14:14
75,Jared McCann\mccanja01,0,24-294,C,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,5,0,22,15:23
76,Jared McCann\mccanja01,0,24-324,C,4/20/2021,PIT,,NJD,W,2,2,0,0,0,0,0,0,0,,20,13:04
77,Jared McCann\mccanja01,0,24-293,C,3/20/2021,PIT,@,NJD,W,0,0,1,0,0,0,0,0,1,0,17,14:55
78,Jared McCann\mccanja01,1,24-313,C,4/9/2021,PIT,@,NJD,W,1,2,-3,0,0,1,0,0,3,33.3,17,14:49
79,Marcus Pettersson\pettema01,0,24-347,D,4/20/2021,PIT,,NJD,W,0,0,0,0,0,0,0,0,0,,22,16:09
80,Marcus Pettersson\pettema01,0,24-336,D,4/9/2021,PIT,@,NJD,W,0,0,1,0,0,0,0,0,1,0,18,14:41
81,Marcus Pettersson\pettema01,0,24-316,D,3/20/2021,PIT,@,NJD,W,1,1,2,0,0,0,0,0,2,0,17,12:57
82,Marcus Pettersson\pettema01,0,24-338,D,4/11/2021,PIT,@,NJD,W,1,1,0,0,0,0,0,0,0,,21,18:15
83,Marcus Pettersson\pettema01,0,24-317,D,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,3,0,22,13:42
84,Marcus Pettersson\pettema01,0,24-314,D,3/18/2021,PIT,@,NJD,L,0,0,-1,0,0,0,0,0,4,0,21,16:06
85,Evan Rodrigues\rodriev01,0,27-235,C,3/20/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,1,0,18,14:00
86,Evan Rodrigues\rodriev01,0,27-257,C,4/11/2021,PIT,@,NJD,W,0,0,0,0,0,0,0,0,0,,20,14:41
87,Evan Rodrigues\rodriev01,0,27-236,C,3/21/2021,PIT,,NJD,L-OT,0,0,0,0,0,0,0,0,1,0,20,15:40
